,gram_count,document_count,Average_freq
deploy,2,2,1.0
explain,5,3,1.6666666666666667
predictions,7,4,1.75
provide,27,6,4.5
algorithmic,4,2,2.0
recourse,4,2,2.0
trying,8,5,1.6
automated,8,2,4.0
decisions,4,2,2.0
classic,4,3,1.3333333333333333
system,21,4,5.25
refuses,2,2,1.0
person,2,2,1.0
loan,20,2,10.0
asks,2,2,1.0
why,13,4,3.25
counterfactually,13,2,6.5
you,4,2,2.0
shorter,2,2,1.0
term,3,3,1.0
would,46,6,7.666666666666667
granted,8,2,4.0
explanation,10,2,5.0
tells,5,3,1.6666666666666667
users,4,2,2.0
what,16,4,4.0
desire,2,2,1.0
researched,4,4,1.0
time,29,6,4.833333333333333
diverse,12,2,6.0
names,1,1,1.0
past,2,2,1.0
nuns,2,2,1.0
inverse,8,3,2.6666666666666665
classifications,5,3,1.6666666666666667
hot,4,3,1.3333333333333333
topic,6,3,2.0
appear,2,2,1.0
psychological,6,2,3.0
benefits,10,4,2.5
people,6,2,3.0
understand,2,2,1.0
legal,2,2,1.0
said,14,3,4.666666666666667
gdpr,4,2,2.0
compliant,2,2,1.0
optimization,15,4,3.75
currently,8,4,2.0
test,95,6,15.833333333333334
encoding,2,2,1.0
refusal,2,2,1.0
search,18,5,3.6
perturbations,2,2,1.0
query,8,4,2.0
loss,7,4,1.75
function,46,6,7.666666666666667
balances,1,1,1.0
proximity,4,2,2.0
against,16,5,3.2
counters,2,2,1.0
scaled,2,2,1.0
wachter,8,2,4.0
seminal,2,2,1.0
gradient,5,3,1.6666666666666667
descent,2,2,1.0
find,25,4,6.25
best,48,5,9.6
though,14,4,3.5
genetic,6,3,2.0
mothilal,8,2,4.0
explanations,16,2,8.0
dice,4,2,2.0
extension,7,3,2.3333333333333335
candidates,4,2,2.0
avoiding,3,3,1.0
were,78,6,13.0
trivial,6,3,2.0
blind,2,2,1.0
perturbation,2,2,1.0
invalid,2,2,1.0
defect,2,2,1.0
potentially,5,5,1.0
serious,6,3,2.0
suggests,6,2,3.0
populate,2,2,1.0
negative,53,6,8.833333333333334
effects,7,4,1.75
part,20,6,3.3333333333333335
case,76,6,12.666666666666666
xc,2,2,1.0
captures,2,2,1.0
opposing,2,2,1.0
side,8,3,2.6666666666666665
constraint,14,2,7.0
differ,7,3,2.3333333333333335
contain,4,4,1.0
cases,55,6,9.166666666666666
old,6,2,3.0
female,2,2,1.0
accountant,4,2,2.0
earning,8,3,2.6666666666666665
who,7,3,2.3333333333333335
refused,6,2,3.0
differences,35,5,7.0
italics,3,3,1.0
explanatory,6,2,3.0
implicitly,3,3,1.0
earns,2,2,1.0
am,4,2,2.0
male,3,2,1.5
teacher,2,2,1.0
suggest,7,4,1.75
earned,2,2,1.0
context,10,5,2.0
appears,4,4,1.0
avoid,5,3,1.6666666666666667
pitfalls,2,2,1.0
arise,5,3,1.6666666666666667
perspective,8,2,4.0
seen,28,4,7.0
supporting,2,2,1.0
creation,2,2,1.0
known,21,5,4.2
few,8,5,1.6
subsection,10,3,3.3333333333333335
beyond,5,4,1.25
our,54,5,10.8
hypothesis,32,4,8.0
now,7,4,1.75
papers,14,4,3.5
handful,2,2,1.0
consider,22,5,4.4
evaluating,7,4,1.75
suggested,8,4,2.0
good,47,5,9.4
substitute,2,2,1.0
calling,2,2,1.0
parallel,10,3,3.3333333333333335
did,9,3,3.0
student,5,3,1.6666666666666667
hasan,4,2,2.0
tried,5,3,1.6666666666666667
determine,13,4,3.25
whether,21,4,5.25
augmented,4,2,2.0
act,2,2,1.0
proxy,2,2,1.0
modest,2,2,1.0
selection,36,5,7.2
areas,6,5,1.2
circled,2,2,1.0
subbaswamy,4,2,2.0
saria,4,2,2.0
shift,8,3,2.6666666666666665
divergence,2,2,1.0
model,30,6,5.0
trained,6,3,2.0
tested,15,3,5.0
notion,10,4,2.5
risk,8,4,2.0
diagnose,2,2,1.0
causal,6,2,3.0
zeng,5,3,1.6666666666666667
generator,4,2,2.0
improved,18,6,3.0
generalizability,4,2,2.0
limited,2,2,1.0
observational,2,2,1.0
pitis,4,2,2.0
coda,4,2,2.0
experiences,3,3,1.0
reinforcement,2,2,1.0
rl,4,2,2.0
increases,8,6,1.3333333333333333
size,24,6,4.0
available,12,6,2.0
stitching,2,2,1.0
subsamples,2,2,1.0
environment,4,4,1.0
significantly,6,2,3.0
agents,4,3,1.3333333333333333
conditioned,2,2,1.0
settings,4,3,1.3333333333333333
bespoke,2,2,1.0
specific,11,3,3.6666666666666665
task,7,5,1.4
therefore,32,6,5.333333333333333
robustness,9,4,2.25
study,29,6,4.833333333333333
prediction,33,6,5.5
involved,8,4,2.0
grass,15,3,5.0
growth,14,4,3.5
relies,11,4,2.75
historical,14,2,7.0
measurements,6,2,3.0
climate,12,2,6.0
dairy,6,2,3.0
farms,6,2,3.0
covering,5,4,1.25
reasonably,2,2,1.0
well,38,6,6.333333333333333
individual,8,5,1.6
coming,3,3,1.0
week,2,2,1.0
increasing,7,5,1.4
events,13,3,4.333333333333333
diverge,2,2,1.0
recorded,4,2,2.0
extreme,7,5,1.4
weather,2,2,1.0
variables,3,2,1.5
solar,4,2,2.0
soil,9,3,3.0
moisture,4,2,2.0
drought,2,2,1.0
across,25,5,5.0
europe,2,2,1.0
effectively,4,4,1.0
halted,2,2,1.0
during,4,4,1.0
usually,13,5,2.6
july,5,3,1.6666666666666667
drops,2,2,1.0
stops,2,2,1.0
growing,3,3,1.0
radiation,2,2,1.0
burn,2,2,1.0
months,2,2,1.0
historically,2,2,1.0
unique,5,4,1.25
defined,8,2,4.0
division,2,2,1.0
normal,7,4,1.75
standard,29,5,5.8
deviations,4,2,2.0
means,15,6,2.5
unpublished,2,2,1.0
reports,2,2,1.0
identical,7,4,1.75
showed,15,3,5.0
considers,7,5,1.4
remains,5,3,1.6666666666666667
generalizes,3,3,1.0
remainder,3,3,1.0
motivated,7,4,1.75
observation,4,4,1.0
seemed,4,2,2.0
purposes,10,4,2.5
furthermore,10,4,2.5
evaluation,19,5,3.8
metrics,42,6,7.0
generally,16,5,3.2
valid,8,2,4.0
promising,3,3,1.0
avenue,2,2,1.0
simple,10,6,1.6666666666666667
scenario,3,3,1.0
imbalances,22,4,5.5
imagine,4,2,2.0
predict,16,5,3.2
farm,2,2,1.0
animals,2,2,1.0
healthy,8,2,4.0
fall,6,5,1.2
ill,4,2,2.0
mastitis,4,2,2.0
cows,8,2,4.0
recording,2,2,1.0
herd,2,2,1.0
tend,7,3,2.3333333333333335
shows,34,5,6.8
breed,6,2,3.0
age,9,3,3.0
classed,4,2,2.0
paired,18,3,6.0
same,37,6,6.166666666666667
times,5,5,1.0
call,2,2,1.0
native,54,2,27.0
us,11,6,1.8333333333333333
difference,26,5,5.2
feature,128,6,21.333333333333332
cow,4,2,2.0
want,2,2,1.0
fix,2,2,1.0
pick,5,4,1.25
needs,6,2,3.0
verified,2,2,1.0
smyth,15,2,7.5
rare,19,5,3.8
tolerance,20,2,10.0
increased,9,5,1.8
describes,2,2,1.0
iteratively,2,2,1.0
results,130,6,21.666666666666668
formally,5,3,1.6666666666666667
figure,23,2,11.5
unpaired,16,2,8.0
𝒙,16,2,8.0
grey,7,3,2.3333333333333335
circle,8,2,4.0
blue,4,2,2.0
taking,6,4,1.5
𝒄𝒇,6,2,3.0
𝒑,18,2,9.0
pairing,4,2,2.0
yellow,2,2,1.0
box,10,2,5.0
green,4,2,2.0
combining,11,6,1.8333333333333333
𝑐𝑓,17,2,8.5
𝑥,70,2,35.0
initially,3,3,1.0
computed,8,3,2.6666666666666665
𝑇,4,2,2.0
identifying,4,3,1.3333333333333333
combinations,4,2,2.0
iii,21,4,5.25
produced,10,4,2.5
features,35,6,5.833333333333333
definitions,4,2,2.0
𝑐𝑙𝑎𝑠𝑠efg,6,2,3.0
𝑐𝑙𝑎𝑠𝑠e,6,2,3.0
𝑥j,4,2,2.0
𝑥k,4,2,2.0
𝑥l,4,2,2.0
𝑝j,4,2,2.0
𝑝k,4,2,2.0
𝑝l,4,2,2.0
𝑡𝑎𝑟𝑔𝑒𝑡,3,2,1.5
belongs,8,3,2.6666666666666665
procedure,32,6,5.333333333333333
compute,7,3,2.3333333333333335
already,11,3,3.6666666666666665
words,4,3,1.3333333333333333
sense,10,4,2.5
x,38,4,9.5
neighboring,3,3,1.0
come,3,2,1.5
finding,11,3,3.6666666666666665
ed,6,3,2.0
ke,2,2,1.0
transfer,2,2,1.0
𝐭o,2,2,1.0
identified,4,2,2.0
parameter,29,6,4.833333333333333
availability,3,3,1.0
fewer,9,3,3.0
generative,4,2,2.0
diminish,4,2,2.0
computes,1,1,1.0
mean,35,6,5.833333333333333
𝜇,2,2,1.0
deviation,10,3,3.3333333333333335
𝜎,2,2,1.0
allows,3,3,1.0
match,5,3,1.6666666666666667
subtle,2,2,1.0
distinguish,5,3,1.6666666666666667
version,19,6,3.1666666666666665
counterpart,2,2,1.0
reasons,3,3,1.0
grounds,4,2,2.0
researchers,7,5,1.4
argue,2,2,1.0
sparse,10,4,2.5
understandable,2,2,1.0
confirmed,2,2,1.0
user,3,3,1.0
studies,10,6,1.6666666666666667
basing,2,2,1.0
makes,9,5,1.8
implicit,2,2,1.0
dependencies,2,2,1.0
matched,3,3,1.0
preserved,4,3,1.3333333333333333
second,23,6,3.8333333333333335
contexts,2,2,1.0
explained,2,2,1.0
residual,2,2,1.0
left,2,2,1.0
consistent,6,3,2.0
addresses,3,3,1.0
records,3,3,1.0
minimal,7,4,1.75
pairings,6,2,3.0
exploiting,2,2,1.0
relationships,3,3,1.0
highly,13,5,2.6
selective,2,2,1.0
ferent,5,3,1.6666666666666667
respects,3,3,1.0
template,2,2,1.0
rely,4,2,2.0
local,11,3,3.6666666666666665
relation,11,5,2.2
single,18,6,3.0
represents,15,6,2.5
departure,2,2,1.0
relative,20,6,3.3333333333333335
competitively,2,2,1.0
benchmark,4,2,2.0
six,8,2,4.0
chosen,16,4,4.0
conceptual,2,2,1.0
closeness,2,2,1.0
popularity,3,3,1.0
amongst,2,2,1.0
keel,8,3,2.6666666666666665
including,15,6,2.5
forest,9,3,3.0
rf,26,2,13.0
logistic,5,3,1.6666666666666667
regression,8,4,2.0
lr,26,2,13.0
multilayer,5,3,1.6666666666666667
perceptron,5,3,1.6666666666666667
mlp,32,3,10.666666666666666
alternative,6,5,1.2
boundaries,6,4,1.5
impact,4,4,1.0
heavily,3,3,1.0
measures,10,5,2.0
assess,9,4,2.25
precision,26,4,6.5
recall,50,6,8.333333333333334
plots,2,2,1.0
roc,73,5,14.6
curves,32,4,8.0
setup,3,3,1.0
table,104,6,17.333333333333332
characteristics,16,5,3.2
drawn,4,3,1.3333333333333333
uci,15,5,3.0
repositories,2,2,1.0
focus,15,6,2.5
converted,4,2,2.0
ovo,4,2,2.0
ovr,4,2,2.0
conversion,2,2,1.0
splits,2,2,1.0
predicts,2,2,1.0
treated,12,3,4.0
positive,60,6,10.0
modified,12,3,4.0
per,3,3,1.0
vary,3,3,1.0
base,13,4,3.25
abalone,24,4,6.0
analyzed,5,3,1.6666666666666667
physical,2,2,1.0
consisting,6,2,3.0
glass,10,3,3.3333333333333335
classify,14,4,3.5
chemical,2,2,1.0
treat,2,2,1.0
yeast,12,5,2.4
cellular,2,2,1.0
localization,4,2,2.0
sites,4,2,2.0
proteins,4,2,2.0
pima,7,3,2.3333333333333335
indians,2,2,1.0
diabetes,4,2,2.0
patient,2,2,1.0
diagnostic,2,2,1.0
included,9,4,2.25
phoneme,13,3,4.333333333333333
nasal,3,3,1.0
oral,3,3,1.0
sounds,4,3,1.3333333333333333
vehicle,15,3,5.0
silhouette,4,2,2.0
types,5,4,1.25
van,5,4,1.25
ecoli,5,3,1.6666666666666667
amino,2,2,1.0
acid,2,2,1.0
sequences,2,2,1.0
cell,4,4,1.0
blocks,2,2,1.0
page,3,3,1.0
layout,2,2,1.0
document,3,3,1.0
detected,2,2,1.0
segmentation,2,2,1.0
wine,13,3,4.333333333333333
quality,15,3,5.0
red,5,3,1.6666666666666667
white,4,2,2.0
vinho,2,2,1.0
verde,2,2,1.0
samples,60,6,10.0
physicochemical,2,2,1.0
poker,4,2,2.0
hands,2,2,1.0
overall,20,5,4.0
cross,2,2,1.0
validation,7,3,2.3333333333333335
partitioned,3,3,1.0
disjoint,3,3,1.0
subsets,4,2,2.0
subset,11,5,2.2
retained,3,3,1.0
remaining,11,5,2.2
details,8,4,2.0
split,6,4,1.5
folds,4,2,2.0
fold,4,2,2.0
train,6,4,1.5
validate,5,4,1.25
run,8,5,1.6
through,41,6,6.833333333333333
testing,14,6,2.3333333333333335
until,6,4,1.5
fully,2,2,1.0
optimal,20,5,4.0
hyperparameters,2,2,1.0
tuning,21,5,4.2
gridsearchcv,4,2,2.0
performs,13,5,2.6
hyperparameter,6,2,3.0
achieve,10,5,2.0
grid,8,3,2.6666666666666665
parameters,28,5,5.6
ran,2,2,1.0
full,9,4,2.25
description,7,3,2.3333333333333335
learner,13,4,3.25
𝑚𝑎𝑥r,2,2,1.0
𝑛,2,2,1.0
xuyz,4,2,2.0
𝑚𝑎𝑥,2,2,1.0
t,108,6,18.0
𝑘,2,2,1.0
f,53,6,8.833333333333334
experiment,13,6,2.1666666666666665
id,4,4,1.0
