,gram_count,document_count,Average_freq
related work,4,2,2.0
work the,4,3,1.3333333333333333
the related,2,2,1.0
work to,2,2,1.0
the present,8,2,4.0
present research,2,2,1.0
research comes,2,2,1.0
from two,2,2,1.0
two different,8,5,1.6
different strands,2,2,1.0
strands of,2,2,1.0
of ai,5,3,1.6666666666666667
ai research,2,2,1.0
research from,2,2,1.0
from i,2,2,1.0
i sampling,2,2,1.0
sampling techniques,2,2,1.0
techniques for,10,6,1.6666666666666667
problem and,15,5,3.0
and ii,4,2,2.0
ii counterfactual,2,2,1.0
counterfactual methods,18,2,9.0
methods for,19,6,3.1666666666666665
for explainable,2,2,1.0
xai data,2,2,1.0
solutions to,5,3,1.6666666666666667
problem are,2,2,1.0
are dominated,2,2,1.0
dominated by,2,2,1.0
by three,2,2,1.0
three main,4,2,2.0
main approaches,2,2,1.0
approaches random,2,2,1.0
random ros,2,2,1.0
ros random,2,2,1.0
random rus,2,2,1.0
rus and,2,2,1.0
and synthetic,4,4,1.0
smote in,10,5,2.0
in ros,2,2,1.0
ros the,2,2,1.0
class distribution,17,6,2.8333333333333335
distribution is,5,5,1.0
is balanced,2,2,1.0
balanced by,2,2,1.0
by randomly,5,3,1.6666666666666667
randomly adding,2,2,1.0
adding multiple,2,2,1.0
multiple copies,2,2,1.0
copies of,3,3,1.0
of some,7,5,1.4
minority classes,14,6,2.3333333333333335
classes to,5,3,1.6666666666666667
the training,58,5,11.6
training data,34,6,5.666666666666667
data whereas,2,2,1.0
whereas with,2,2,1.0
with rus,2,2,1.0
rus a,2,2,1.0
a certain,5,3,1.6666666666666667
certain number,2,2,1.0
number of,99,6,16.5
of examples,2,2,1.0
examples of,16,6,2.6666666666666665
class are,8,5,1.6
are randomly,4,4,1.0
randomly removed,2,2,1.0
removed from,2,2,1.0
original dataset,14,3,4.666666666666667
dataset although,2,2,1.0
although these,2,2,1.0
methods can,5,3,1.6666666666666667
can the,2,2,1.0
dataset they,4,2,2.0
they have,8,2,4.0
have some,2,2,1.0
some since,1,1,1.0
since ros,2,2,1.0
ros merely,2,2,1.0
merely copies,2,2,1.0
copies instances,2,2,1.0
instances no,2,2,1.0
no new,2,2,1.0
new information,2,2,1.0
information is,2,2,1.0
is added,2,2,1.0
added to,8,2,4.0
the and,12,5,2.4
and hence,6,4,1.5
hence it,3,3,1.0
can lead,2,2,1.0
lead to,9,4,2.25
to overfitting,2,2,1.0
overfitting on,2,2,1.0
on the,142,6,23.666666666666668
other hand,8,5,1.6
hand since,2,2,1.0
since rus,2,2,1.0
rus randomly,2,2,1.0
randomly removes,1,1,1.0
removes examples,1,1,1.0
examples from,7,4,1.75
class data,4,4,1.0
data can,3,3,1.0
be discarded,2,2,1.0
discarded that,2,2,1.0
that may,2,2,1.0
may be,14,4,3.5
be important,3,3,1.0
important the,2,2,1.0
the third,9,5,1.8
third option,2,2,1.0
option smote,2,2,1.0
smote adopts,2,2,1.0
adopts a,2,2,1.0
a somewhat,2,2,1.0
somewhat different,2,2,1.0
different approach,5,2,2.5
approach based,5,3,1.6666666666666667
on oversampling,4,2,2.0
oversampling from,2,2,1.0
class as,11,4,2.75
smote is,8,4,2.0
is the,55,6,9.166666666666666
the baseline,6,2,3.0
baseline method,3,3,1.0
method used,4,2,2.0
used for,14,4,3.5
for comparisons,2,2,1.0
comparisons in,2,2,1.0
present experiments,2,2,1.0
experiments we,5,3,1.6666666666666667
we briefly,6,2,3.0
briefly describe,2,2,1.0
describe it,2,2,1.0
it in,3,3,1.0
in more,2,2,1.0
more detail,2,2,1.0
detail here,2,2,1.0
here see,2,2,1.0
see section,12,2,6.0
section along,2,2,1.0
with important,2,2,1.0
important smote,2,2,1.0
smote variants,24,2,12.0
variants see,2,2,1.0
section before,2,2,1.0
before going,2,2,1.0
going on,2,2,1.0
on to,3,2,1.5
to describe,2,2,1.0
describe the,4,2,2.0
the counterfactual,26,2,13.0
method we,2,2,1.0
we have,14,4,3.5
have adapted,2,2,1.0
the xai,12,2,6.0
xai literature,6,2,3.0
literature see,2,2,1.0
section finally,3,3,1.0
finally we,2,2,1.0
briefly sketch,4,2,2.0
sketch the,2,2,1.0
the recent,3,3,1.0
recent and,2,2,1.0
and very,3,3,1.0
very small,3,3,1.0
small literature,4,2,2.0
literature that,2,2,1.0
that has,6,2,3.0
has begun,2,2,1.0
begun to,2,2,1.0
to apply,6,4,1.5
apply these,2,2,1.0
these counterfactual,2,2,1.0
counterfactual xai,2,2,1.0
xai methods,2,2,1.0
methods to,5,4,1.25
to and,4,4,1.0
augmentation see,1,1,1.0
section temraz,2,2,1.0
augmentation data,2,2,1.0
data sampling,3,3,1.0
sampling methods,7,5,1.4
problem smote,2,2,1.0
smote synthetic,11,6,1.8333333333333333
minority oversampling,25,6,4.166666666666667
oversampling technique,13,6,2.1666666666666665
smote oversamples,2,2,1.0
oversamples the,2,2,1.0
class by,4,4,1.0
by creating,4,2,2.0
creating synthetic,3,3,1.0
instances rather,4,2,2.0
than by,2,2,1.0
by oversampling,3,3,1.0
oversampling using,2,2,1.0
using replacement,2,2,1.0
replacement it,2,2,1.0
is one,13,5,2.6
one of,36,6,6.0
most widely,4,3,1.3333333333333333
widely used,4,3,1.3333333333333333
used solutions,2,2,1.0
the problem,42,6,7.0
problem google,2,2,1.0
google scholar,2,2,1.0
scholar lists,2,2,1.0
lists over,2,2,1.0
over citations,2,2,1.0
citations to,2,2,1.0
original paper,2,2,1.0
paper in,3,3,1.0
in smote,5,3,1.6666666666666667
the new,9,4,2.25
new example,2,2,1.0
example in,11,4,2.75
is created,1,1,1.0
created by,4,3,1.3333333333333333
by between,1,1,1.0
between several,3,3,1.0
several minority,3,3,1.0
class instances,8,3,2.6666666666666665
instances by,6,4,1.5
by interpolating,4,3,1.3333333333333333
interpolating instead,3,3,1.0
instead of,14,6,2.3333333333333335
of copying,2,2,1.0
copying instances,2,2,1.0
instances smote,2,2,1.0
smote avoids,3,3,1.0
avoids the,3,3,1.0
and creates,1,1,1.0
creates new,1,1,1.0
in neighborhoods,2,2,1.0
neighborhoods surrounding,2,2,1.0
surrounding instances,2,2,1.0
class briefly,2,2,1.0
briefly the,2,2,1.0
the algorithm,19,5,3.8
algorithm works,2,2,1.0
works as,2,2,1.0
as follows,17,6,2.8333333333333335
follows assume,2,2,1.0
assume that,10,4,2.5
that the,94,6,15.666666666666666
is 𝑃,4,2,2.0
𝑃 and,6,2,3.0
and the,109,6,18.166666666666668
is smote,2,2,1.0
smote starts,2,2,1.0
starts by,2,2,1.0
randomly selecting,3,3,1.0
selecting a,2,2,1.0
a minority,12,3,4.0
minority instance,20,3,6.666666666666667
instance 𝑝,8,2,4.0
𝑝 from,6,2,3.0
class 𝑃,6,2,3.0
and then,28,5,5.6
then determines,1,1,1.0
determines 𝑚,1,1,1.0
𝑚 as,2,2,1.0
as the,64,6,10.666666666666666
the nearest,14,6,2.3333333333333335
nearest neighbors,47,5,9.4
neighbors of,19,4,4.75
of 𝑝,8,2,4.0
𝑝 after,2,2,1.0
after determining,2,2,1.0
determining 𝑚,2,2,1.0
𝑚 nearest,8,2,4.0
𝑝 it,4,2,2.0
it selects,2,2,1.0
selects a,2,2,1.0
a random,12,5,2.4
random neighbor,2,2,1.0
neighbor 𝑚,2,2,1.0
𝑚 where,3,2,1.5
where 𝑚,2,2,1.0
𝑚 smote,1,1,1.0
smote creates,2,2,1.0
creates a,2,2,1.0
a new,28,6,4.666666666666667
new instance,8,2,4.0
𝑝 using,4,2,2.0
the following,12,5,2.4
following formula,2,2,1.0
formula 𝑝,2,2,1.0
𝑝 𝑝,8,2,4.0
𝑝 𝑚,2,2,1.0
where 𝛿,2,2,1.0
𝛿 is,2,2,1.0
is a,65,6,10.833333333333334
random number,7,5,1.4
number between,4,4,1.0
between and,7,5,1.4
and this,7,4,1.75
this new,7,3,2.3333333333333335
instance is,7,3,2.3333333333333335
is then,5,3,1.6666666666666667
then added,4,2,2.0
dataset for,12,3,4.0
class one,2,2,1.0
the potential,6,4,1.5
potential problems,2,2,1.0
problems with,2,2,1.0
with smote,4,3,1.3333333333333333
that its,2,2,1.0
its generation,2,2,1.0
generation of,14,5,2.8
of minority,14,5,2.8
minority instances,50,3,16.666666666666668
instances is,2,2,1.0
is done,7,5,1.4
done without,2,2,1.0
without reference,2,2,1.0
reference to,2,2,1.0
or indeed,2,2,1.0
indeed any,2,2,1.0
any consideration,1,1,1.0
consideration that,1,1,1.0
that some,5,3,1.6666666666666667
some minority,4,2,2.0
instances may,2,2,1.0
be better,4,4,1.0
better than,19,5,3.8
than others,5,3,1.6666666666666667
others to,2,2,1.0
to use,7,5,1.4
use in,8,4,2.0
this process,4,3,1.3333333333333333
process another,2,2,1.0
another issue,2,2,1.0
issue is,2,2,1.0
may introduce,3,3,1.0
introduce noise,2,2,1.0
noise by,2,2,1.0
by generating,2,2,1.0
generating interpolated,2,2,1.0
that do,5,3,1.6666666666666667
do not,9,5,1.8
not exist,1,1,1.0
exist in,5,2,2.5
the domain,4,3,1.3333333333333333
domain the,2,2,1.0
the interpolated,2,2,1.0
interpolated value,2,2,1.0
value could,2,2,1.0
could be,29,6,4.833333333333333
be accordingly,2,2,1.0
accordingly many,2,2,1.0
many extensions,2,2,1.0
extensions have,2,2,1.0
been made,4,4,1.0
made to,4,3,1.3333333333333333
to smote,4,2,2.0
smote that,4,2,2.0
improve on,8,2,4.0
its operation,2,2,1.0
operation in,3,3,1.0
following we,2,2,1.0
we review,2,2,1.0
review the,2,2,1.0
the smote,20,6,3.3333333333333335
variants that,4,2,2.0
are closest,2,2,1.0
closest to,2,2,1.0
current method,2,2,1.0
method proposed,3,3,1.0
to reveal,2,2,1.0
reveal how,2,2,1.0
how it,6,2,3.0
it differs,2,2,1.0
differs temraz,2,2,1.0
augmentation smote,8,2,4.0
variants three,2,2,1.0
three key,4,2,2.0
key insights,4,2,2.0
insights there,2,2,1.0
there are,27,6,4.5
are many,2,2,1.0
many variants,2,2,1.0
original s,2,2,1.0
performance based,2,2,1.0
on several,2,2,1.0
several insights,2,2,1.0
insights about,4,2,2.0
about how,2,2,1.0
how to,6,4,1.5
problem so,2,2,1.0
so these,2,2,1.0
these variants,2,2,1.0
variants often,2,2,1.0
often hinge,2,2,1.0
hinge on,2,2,1.0
on regions,1,1,1.0
regions in,8,2,4.0
class they,4,2,2.0
they emphasise,2,2,1.0
emphasise the,2,2,1.0
the importance,7,2,3.5
importance of,8,3,2.6666666666666665
of focusing,2,2,1.0
focusing on,5,5,1.0
the border,3,3,1.0
border region,2,2,1.0
region between,2,2,1.0
between the,26,6,4.333333333333333
majority and,17,5,3.4
and minority,17,5,3.4
classes and,16,6,2.6666666666666665
and sometimes,4,2,2.0
sometimes analyze,1,1,1.0
analyze the,1,1,1.0
with respect,18,5,3.6
respect to,18,5,3.6
minority to,2,2,1.0
to guide,8,2,4.0
guide smote,6,2,3.0
in selected,2,2,1.0
selected regions,2,2,1.0
regions one,2,2,1.0
one critical,2,2,1.0
critical improvement,2,2,1.0
improvement to,2,2,1.0
original smote,4,2,2.0
smote method,6,3,2.0
method hinges,2,2,1.0
hinges on,4,2,2.0
the insight,4,2,2.0
insight that,2,2,1.0
that not,3,3,1.0
not all,3,3,1.0
all regions,2,2,1.0
are equal,5,5,1.0
equal some,2,2,1.0
some may,2,2,1.0
be more,20,4,5.0
more or,1,1,1.0
or safer,2,2,1.0
safer than,2,2,1.0
others within,2,2,1.0
within which,4,2,2.0
which to,5,3,1.6666666666666667
apply smote,2,2,1.0
smote for,11,3,3.6666666666666665
instance smote,1,1,1.0
smote clusters,2,2,1.0
clusters minority,2,2,1.0
instances into,5,3,1.6666666666666667
into k,2,2,1.0
k clusters,2,2,1.0
clusters and,3,3,1.0
then oversamples,1,1,1.0
oversamples from,1,1,1.0
from clusters,2,2,1.0
clusters with,4,4,1.0
most the,1,1,1.0
the assumption,4,4,1.0
assumption being,2,2,1.0
being that,2,2,1.0
that these,7,3,2.3333333333333335
these are,2,2,1.0
are safer,2,2,1.0
safer regions,2,2,1.0
regions and,2,2,1.0
and are,6,3,2.0
are less,2,2,1.0
less likely,4,2,2.0
to generate,45,6,7.5
generate noise,2,2,1.0
noise see,2,2,1.0
