,gram_count,document_count,Average_freq
minority class interestingly,2,2,1.0
class interestingly this,2,2,1.0
interestingly this method,2,2,1.0
this method was,2,2,1.0
method was previously,2,2,1.0
was previously developed,2,2,1.0
previously developed to,2,2,1.0
developed to solve,1,1,1.0
to solve problems,5,2,2.5
solve problems in,1,1,1.0
problems in explainable,2,2,1.0
in explainable ai,2,2,1.0
explainable ai xai,4,2,2.0
ai xai for,2,2,1.0
xai for reviews,2,2,1.0
for reviews see,4,2,2.0
reviews see in,2,2,1.0
see in logic,2,2,1.0
in logic lewis,2,2,1.0
logic lewis proposed,2,2,1.0
lewis proposed that,2,2,1.0
proposed that counterfactuals,2,2,1.0
that counterfactuals are,2,2,1.0
counterfactuals are the,2,2,1.0
are the closest,2,2,1.0
the closest possible,2,2,1.0
closest possible world,2,2,1.0
possible world to,2,2,1.0
world to the,2,2,1.0
to the current,4,2,2.0
the current world,2,2,1.0
current world in,2,2,1.0
world in which,4,2,2.0
in which the,10,4,2.5
which the outcome,4,2,2.0
the outcome is,2,2,1.0
outcome is different,2,2,1.0
is different hence,2,2,1.0
different hence the,2,2,1.0
hence the intuition,2,2,1.0
the intuition behind,2,2,1.0
intuition behind the,2,2,1.0
behind the current,2,2,1.0
the current technique,2,2,1.0
current technique is,2,2,1.0
technique is that,2,2,1.0
is that it,9,4,2.25
that it generates,2,2,1.0
it generates synthetic,3,3,1.0
counterfactual instances using,2,2,1.0
instances using the,4,2,2.0
using the actual,2,2,1.0
the actual of,2,2,1.0
actual of instances,2,2,1.0
of instances not,2,2,1.0
instances not interpolated,2,2,1.0
not interpolated values,2,2,1.0
interpolated values that,4,2,2.0
values that are,2,2,1.0
that are the,2,2,1.0
are the close,2,2,1.0
the close to,2,2,1.0
close to existing,6,2,3.0
to existing thus,1,1,1.0
existing thus populating,1,1,1.0
thus populating the,2,2,1.0
populating the minority,2,2,1.0
minority class with,6,3,2.0
class with plausible,2,2,1.0
with plausible adaptations,2,2,1.0
plausible adaptations of,2,2,1.0
adaptations of existing,1,1,1.0
of existing data,1,1,1.0
existing data if,1,1,1.0
data if this,2,2,1.0
if this intuition,2,2,1.0
this intuition is,2,2,1.0
intuition is correct,2,2,1.0
is correct then,2,2,1.0
correct then the,2,2,1.0
then the synthetic,2,2,1.0
the synthetic instances,7,4,1.75
synthetic instances generated,6,3,2.0
instances generated by,3,3,1.0
generated by this,2,2,1.0
by this counterfactual,1,1,1.0
this counterfactual method,8,2,4.0
counterfactual method should,1,1,1.0
method should improve,2,2,1.0
should improve ml,2,2,1.0
improve ml performance,2,2,1.0
ml performance perhaps,2,2,1.0
performance perhaps to,2,2,1.0
perhaps to a,2,2,1.0
to a level,2,2,1.0
a level that,2,2,1.0
level that advances,2,2,1.0
that advances current,2,2,1.0
advances current techniques,2,2,1.0
current techniques temraz,2,2,1.0
techniques temraz keane,2,2,1.0
data augmentation related,2,2,1.0
augmentation related work,2,2,1.0
related work the,2,2,1.0
work the related,2,2,1.0
the related work,2,2,1.0
related work to,2,2,1.0
work to the,2,2,1.0
to the present,4,2,2.0
the present research,2,2,1.0
present research comes,2,2,1.0
research comes from,2,2,1.0
comes from two,2,2,1.0
from two different,2,2,1.0
two different strands,2,2,1.0
different strands of,2,2,1.0
strands of ai,2,2,1.0
of ai research,2,2,1.0
ai research from,2,2,1.0
research from i,2,2,1.0
from i sampling,2,2,1.0
i sampling techniques,2,2,1.0
sampling techniques for,2,2,1.0
techniques for the,4,4,1.0
for the class,10,4,2.5
imbalance problem and,9,5,1.8
problem and ii,2,2,1.0
and ii counterfactual,2,2,1.0
ii counterfactual methods,2,2,1.0
counterfactual methods for,4,2,2.0
methods for explainable,2,2,1.0
for explainable ai,2,2,1.0
ai xai data,2,2,1.0
xai data level,2,2,1.0
level solutions to,2,2,1.0
solutions to the,5,3,1.6666666666666667
to the class,8,4,2.0
imbalance problem are,2,2,1.0
problem are dominated,2,2,1.0
are dominated by,2,2,1.0
dominated by three,2,2,1.0
by three main,2,2,1.0
three main approaches,2,2,1.0
main approaches random,2,2,1.0
approaches random ros,2,2,1.0
random ros random,2,2,1.0
ros random rus,2,2,1.0
random rus and,2,2,1.0
rus and synthetic,2,2,1.0
and synthetic minority,2,2,1.0
technique smote in,2,2,1.0
smote in ros,2,2,1.0
in ros the,2,2,1.0
ros the class,2,2,1.0
the class distribution,4,3,1.3333333333333333
class distribution is,3,3,1.0
distribution is balanced,2,2,1.0
is balanced by,2,2,1.0
balanced by randomly,2,2,1.0
by randomly adding,2,2,1.0
randomly adding multiple,2,2,1.0
adding multiple copies,2,2,1.0
multiple copies of,2,2,1.0
copies of some,2,2,1.0
of some of,2,2,1.0
of the minority,40,6,6.666666666666667
the minority classes,4,4,1.0
minority classes to,2,2,1.0
classes to the,2,2,1.0
to the training,4,3,1.3333333333333333
the training data,17,4,4.25
training data whereas,2,2,1.0
data whereas with,2,2,1.0
whereas with rus,2,2,1.0
with rus a,2,2,1.0
rus a certain,2,2,1.0
a certain number,2,2,1.0
certain number of,2,2,1.0
number of examples,2,2,1.0
of examples of,2,2,1.0
examples of the,6,4,1.5
of the majority,24,6,4.0
majority class are,3,3,1.0
class are randomly,2,2,1.0
are randomly removed,2,2,1.0
randomly removed from,2,2,1.0
removed from the,2,2,1.0
from the original,6,2,3.0
the original dataset,14,3,4.666666666666667
original dataset although,2,2,1.0
dataset although these,2,2,1.0
although these methods,2,2,1.0
these methods can,2,2,1.0
methods can the,2,2,1.0
can the original,2,2,1.0
original dataset they,2,2,1.0
dataset they have,2,2,1.0
they have some,2,2,1.0
have some since,1,1,1.0
some since ros,1,1,1.0
since ros merely,2,2,1.0
ros merely copies,2,2,1.0
merely copies instances,2,2,1.0
copies instances no,2,2,1.0
instances no new,2,2,1.0
no new information,2,2,1.0
new information is,2,2,1.0
information is added,2,2,1.0
is added to,2,2,1.0
added to the,6,2,3.0
to the and,1,1,1.0
the and hence,1,1,1.0
and hence it,2,2,1.0
hence it can,2,2,1.0
it can lead,2,2,1.0
can lead to,2,2,1.0
lead to overfitting,2,2,1.0
to overfitting on,2,2,1.0
overfitting on the,2,2,1.0
on the other,9,6,1.5
the other hand,8,5,1.6
other hand since,2,2,1.0
hand since rus,2,2,1.0
since rus randomly,2,2,1.0
rus randomly removes,1,1,1.0
randomly removes examples,1,1,1.0
removes examples from,1,1,1.0
examples from the,5,3,1.6666666666666667
from the majority,8,4,2.0
majority class data,2,2,1.0
class data can,2,2,1.0
data can be,3,3,1.0
can be discarded,2,2,1.0
be discarded that,2,2,1.0
discarded that may,2,2,1.0
that may be,2,2,1.0
may be important,2,2,1.0
be important the,2,2,1.0
important the third,2,2,1.0
the third option,2,2,1.0
third option smote,2,2,1.0
option smote adopts,2,2,1.0
smote adopts a,2,2,1.0
adopts a somewhat,2,2,1.0
a somewhat different,2,2,1.0
somewhat different approach,2,2,1.0
different approach based,2,2,1.0
approach based on,5,3,1.6666666666666667
based on oversampling,4,2,2.0
on oversampling from,2,2,1.0
oversampling from the,2,2,1.0
from the class,4,4,1.0
the class as,3,2,1.5
class as smote,2,2,1.0
as smote is,2,2,1.0
smote is the,2,2,1.0
is the baseline,2,2,1.0
the baseline method,2,2,1.0
baseline method used,2,2,1.0
method used for,2,2,1.0
used for comparisons,2,2,1.0
for comparisons in,2,2,1.0
comparisons in the,2,2,1.0
in the present,2,2,1.0
the present experiments,2,2,1.0
present experiments we,2,2,1.0
experiments we briefly,2,2,1.0
we briefly describe,2,2,1.0
briefly describe it,2,2,1.0
describe it in,2,2,1.0
it in more,2,2,1.0
in more detail,2,2,1.0
more detail here,2,2,1.0
detail here see,2,2,1.0
here see section,2,2,1.0
see section along,2,2,1.0
section along with,2,2,1.0
along with important,2,2,1.0
with important smote,2,2,1.0
important smote variants,2,2,1.0
smote variants see,2,2,1.0
variants see section,2,2,1.0
see section before,2,2,1.0
section before going,2,2,1.0
before going on,2,2,1.0
going on to,2,2,1.0
on to describe,2,2,1.0
to describe the,2,2,1.0
describe the counterfactual,2,2,1.0
the counterfactual method,11,2,5.5
counterfactual method we,2,2,1.0
method we have,2,2,1.0
we have adapted,2,2,1.0
have adapted from,2,2,1.0
adapted from the,2,2,1.0
from the xai,6,2,3.0
the xai literature,6,2,3.0
xai literature see,2,2,1.0
literature see section,2,2,1.0
see section finally,2,2,1.0
section finally we,2,2,1.0
finally we briefly,2,2,1.0
we briefly sketch,4,2,2.0
briefly sketch the,2,2,1.0
sketch the recent,2,2,1.0
the recent and,2,2,1.0
recent and very,2,2,1.0
and very small,2,2,1.0
very small literature,2,2,1.0
small literature that,2,2,1.0
literature that has,2,2,1.0
that has begun,2,2,1.0
has begun to,2,2,1.0
begun to apply,2,2,1.0
to apply these,2,2,1.0
apply these counterfactual,2,2,1.0
these counterfactual xai,2,2,1.0
counterfactual xai methods,2,2,1.0
xai methods to,2,2,1.0
methods to and,2,2,1.0
to and data,2,2,1.0
data augmentation see,1,1,1.0
augmentation see section,1,1,1.0
see section temraz,2,2,1.0
section temraz keane,2,2,1.0
data augmentation data,2,2,1.0
augmentation data sampling,2,2,1.0
data sampling methods,2,2,1.0
sampling methods for,2,2,1.0
methods for the,4,3,1.3333333333333333
imbalance problem smote,2,2,1.0
problem smote synthetic,2,2,1.0
smote synthetic minority,11,6,1.8333333333333333
synthetic minority oversampling,11,6,1.8333333333333333
minority oversampling technique,12,5,2.4
oversampling technique smote,3,3,1.0
technique smote oversamples,2,2,1.0
smote oversamples the,2,2,1.0
oversamples the minority,2,2,1.0
minority class by,4,4,1.0
class by creating,2,2,1.0
by creating synthetic,2,2,1.0
creating synthetic instances,2,2,1.0
synthetic instances rather,2,2,1.0
instances rather than,4,2,2.0
rather than by,2,2,1.0
than by oversampling,2,2,1.0
by oversampling using,2,2,1.0
oversampling using replacement,2,2,1.0
using replacement it,2,2,1.0
replacement it is,2,2,1.0
it is one,2,2,1.0
is one of,6,4,1.5
one of the,25,5,5.0
of the most,9,4,2.25
the most widely,4,3,1.3333333333333333
most widely used,4,3,1.3333333333333333
widely used solutions,2,2,1.0
used solutions to,2,2,1.0
to the problem,5,3,1.6666666666666667
the problem google,2,2,1.0
problem google scholar,2,2,1.0
google scholar lists,2,2,1.0
scholar lists over,2,2,1.0
lists over citations,2,2,1.0
over citations to,2,2,1.0
citations to the,2,2,1.0
to the original,9,4,2.25
the original paper,2,2,1.0
original paper in,2,2,1.0
paper in smote,2,2,1.0
in smote the,3,3,1.0
smote the new,2,2,1.0
the new example,2,2,1.0
new example in,2,2,1.0
example in the,5,4,1.25
minority class is,12,6,2.0
class is created,1,1,1.0
is created by,1,1,1.0
created by between,1,1,1.0
by between several,1,1,1.0
between several minority,3,3,1.0
several minority class,3,3,1.0
minority class instances,5,3,1.6666666666666667
class instances by,3,3,1.0
instances by interpolating,2,2,1.0
by interpolating instead,3,3,1.0
interpolating instead of,3,3,1.0
instead of copying,2,2,1.0
of copying instances,2,2,1.0
copying instances smote,2,2,1.0
instances smote avoids,2,2,1.0
smote avoids the,3,3,1.0
avoids the problem,3,3,1.0
the problem and,3,3,1.0
problem and creates,1,1,1.0
and creates new,1,1,1.0
creates new synthetic,1,1,1.0
new synthetic instances,2,2,1.0
instances in neighborhoods,2,2,1.0
in neighborhoods surrounding,2,2,1.0
neighborhoods surrounding instances,2,2,1.0
