,gram_count,document_count,Average_freq
of which are variants,2,2,1.0
which are variants of,2,2,1.0
are variants of smote,2,2,1.0
variants of smote the,2,2,1.0
of smote the basis,2,2,1.0
smote the basis for,2,2,1.0
the basis for cfa,2,2,1.0
basis for cfa s,2,2,1.0
for cfa s performance,2,2,1.0
cfa s performance is,2,2,1.0
s performance is discussed,2,2,1.0
performance is discussed along,2,2,1.0
is discussed along with,2,2,1.0
discussed along with the,2,2,1.0
along with the conditions,2,2,1.0
with the conditions under,2,2,1.0
the conditions under which,4,2,2.0
conditions under which it,2,2,1.0
under which it is,2,2,1.0
which it is likely,2,2,1.0
it is likely to,2,2,1.0
is likely to perform,2,2,1.0
likely to perform better,2,2,1.0
to perform better or,2,2,1.0
perform better or worse,2,2,1.0
better or worse in,2,2,1.0
or worse in future,2,2,1.0
worse in future tests,2,2,1.0
in future tests keywords,2,2,1.0
future tests keywords counterfactual,2,2,1.0
tests keywords counterfactual class,2,2,1.0
keywords counterfactual class imbalance,2,2,1.0
counterfactual class imbalance problem,2,2,1.0
class imbalance problem reasoning,2,2,1.0
imbalance problem reasoning data,2,2,1.0
problem reasoning data augmentation,2,2,1.0
reasoning data augmentation explainable,2,2,1.0
data augmentation explainable ai,2,2,1.0
augmentation explainable ai introduction,2,2,1.0
explainable ai introduction imbalanced,2,2,1.0
ai introduction imbalanced datasets,2,2,1.0
introduction imbalanced datasets create,2,2,1.0
imbalanced datasets create significant,2,2,1.0
datasets create significant problems,2,2,1.0
create significant problems for,2,2,1.0
significant problems for machine,2,2,1.0
problems for machine learning,2,2,1.0
for machine learning ml,2,2,1.0
machine learning ml in,2,2,1.0
learning ml in classification,2,2,1.0
ml in classification tasks,2,2,1.0
in classification tasks classically,2,2,1.0
classification tasks classically this,2,2,1.0
tasks classically this problem,2,2,1.0
classically this problem arises,2,2,1.0
this problem arises in,2,2,1.0
problem arises in binary,2,2,1.0
arises in binary classification,2,2,1.0
in binary classification tasks,2,2,1.0
binary classification tasks when,2,2,1.0
classification tasks when most,1,1,1.0
tasks when most of,1,1,1.0
when most of data,1,1,1.0
most of data comes,1,1,1.0
of data comes from,2,2,1.0
data comes from one,2,2,1.0
comes from one class,2,2,1.0
from one class the,2,2,1.0
one class the majority,2,2,1.0
class the majority class,2,2,1.0
the majority class and,18,4,4.5
majority class and less,2,2,1.0
class and less comes,2,2,1.0
and less comes from,2,2,1.0
less comes from the,2,2,1.0
comes from the other,2,2,1.0
from the other class,2,2,1.0
the other class the,2,2,1.0
other class the minority,2,2,1.0
class the minority class,2,2,1.0
the minority class for,6,3,2.0
minority class for instance,3,2,1.5
class for instance in,2,2,1.0
for instance in datasets,2,2,1.0
instance in datasets always,2,2,1.0
in datasets always have,2,2,1.0
datasets always have many,2,2,1.0
always have many more,2,2,1.0
have many more instances,2,2,1.0
more instances than fraudulent,2,2,1.0
instances than fraudulent ones,2,2,1.0
than fraudulent ones simply,2,2,1.0
fraudulent ones simply because,2,2,1.0
ones simply because the,2,2,1.0
simply because the latter,2,2,1.0
because the latter are,2,2,1.0
the latter are rarer,2,2,1.0
latter are rarer than,2,2,1.0
are rarer than the,2,2,1.0
rarer than the former,2,2,1.0
than the former when,2,2,1.0
the former when a,2,2,1.0
former when a given,2,2,1.0
when a given class,2,2,1.0
a given class is,2,2,1.0
given class is in,2,2,1.0
class is in the,2,2,1.0
is in the dataset,2,2,1.0
in the dataset in,2,2,1.0
the dataset in this,3,3,1.0
dataset in this way,2,2,1.0
in this way a,2,2,1.0
this way a classifier,2,2,1.0
way a classifier s,2,2,1.0
a classifier s performance,4,2,2.0
classifier s performance can,2,2,1.0
s performance can be,2,2,1.0
performance can be compromised,2,2,1.0
can be compromised in,2,2,1.0
be compromised in several,2,2,1.0
compromised in several ways,2,2,1.0
in several ways for,2,2,1.0
several ways for instance,2,2,1.0
ways for instance it,2,2,1.0
for instance it may,2,2,1.0
instance it may show,2,2,1.0
it may show poor,2,2,1.0
may show poor accuracy,2,2,1.0
show poor accuracy in,2,2,1.0
poor accuracy in predicting,2,2,1.0
accuracy in predicting the,2,2,1.0
in predicting the minority,2,2,1.0
predicting the minority class,2,2,1.0
the minority class or,5,3,1.6666666666666667
minority class or spuriously,2,2,1.0
class or spuriously high,2,2,1.0
or spuriously high accuracy,2,2,1.0
spuriously high accuracy for,2,2,1.0
high accuracy for the,2,2,1.0
accuracy for the classifier,2,2,1.0
for the classifier as,2,2,1.0
the classifier as a,2,2,1.0
classifier as a whole,2,2,1.0
as a whole based,2,2,1.0
a whole based only,2,2,1.0
whole based only on,2,2,1.0
based only on its,2,2,1.0
only on its success,2,2,1.0
on its success with,2,2,1.0
its success with the,2,2,1.0
success with the majority,2,2,1.0
with the majority class,6,2,3.0
the majority class it,2,2,1.0
majority class it can,2,2,1.0
class it can result,2,2,1.0
it can result in,2,2,1.0
can result in poor,2,2,1.0
result in poor rule,2,2,1.0
in poor rule induction,2,2,1.0
poor rule induction for,2,2,1.0
rule induction for decision,2,2,1.0
induction for decision trees,2,2,1.0
for decision trees this,2,2,1.0
decision trees this problem,2,2,1.0
trees this problem has,2,2,1.0
this problem has been,2,2,1.0
problem has been recognized,4,3,1.3333333333333333
has been recognized in,3,3,1.0
been recognized in many,3,3,1.0
recognized in many application,2,2,1.0
in many application domains,3,3,1.0
many application domains such,2,2,1.0
application domains such as,3,3,1.0
domains such as medical,2,2,1.0
such as medical diagnosis,2,2,1.0
as medical diagnosis fraud,1,1,1.0
medical diagnosis fraud detection,1,1,1.0
diagnosis fraud detection text,1,1,1.0
fraud detection text classification,2,2,1.0
detection text classification and,2,2,1.0
text classification and detection,2,2,1.0
classification and detection of,2,2,1.0
and detection of oil,2,2,1.0
detection of oil spills,6,4,1.5
of oil spills in,6,4,1.5
oil spills in satellite,6,4,1.5
spills in satellite radar,6,4,1.5
in satellite radar images,6,4,1.5
satellite radar images notably,2,2,1.0
radar images notably recently,2,2,1.0
images notably recently some,2,2,1.0
notably recently some of,2,2,1.0
recently some of the,2,2,1.0
some of the techniques,2,2,1.0
of the techniques proposed,2,2,1.0
the techniques proposed to,2,2,1.0
techniques proposed to solve,2,2,1.0
class imbalance problem have,1,1,1.0
imbalance problem have also,1,1,1.0
problem have also proved,2,2,1.0
have also proved useful,2,2,1.0
also proved useful in,2,2,1.0
proved useful in data,2,2,1.0
useful in data augmentation,2,2,1.0
in data augmentation for,2,2,1.0
data augmentation for deep,6,2,3.0
augmentation for deep learning,6,2,3.0
for deep learning models,2,2,1.0
deep learning models when,2,2,1.0
learning models when new,2,2,1.0
models when new synthetic,2,2,1.0
when new synthetic keane,2,2,1.0
new synthetic keane counterfactual,2,2,1.0
synthetic keane counterfactual data,2,2,1.0
counterfactual data augmentation points,4,2,2.0
data augmentation points need,2,2,1.0
augmentation points need to,2,2,1.0
points need to be,2,2,1.0
need to be generated,3,3,1.0
to be generated to,2,2,1.0
be generated to create,2,2,1.0
generated to create the,2,2,1.0
to create the large,2,2,1.0
create the large labelled,2,2,1.0
the large labelled datasets,2,2,1.0
large labelled datasets required,2,2,1.0
labelled datasets required for,2,2,1.0
datasets required for better,2,2,1.0
required for better performance,2,2,1.0
for better performance in,2,2,1.0
better performance in this,2,2,1.0
performance in this literature,2,2,1.0
in this literature several,2,2,1.0
this literature several important,2,2,1.0
literature several important approaches,2,2,1.0
several important approaches have,2,2,1.0
important approaches have emerged,2,2,1.0
approaches have emerged to,2,2,1.0
have emerged to deal,2,2,1.0
emerged to deal with,2,2,1.0
to deal with this,2,2,1.0
deal with this problem,2,2,1.0
with this problem based,2,2,1.0
this problem based on,2,2,1.0
problem based on solutions,2,2,1.0
based on solutions at,2,2,1.0
on solutions at the,2,2,1.0
solutions at the data,2,2,1.0
at the data or,2,2,1.0
the data or algorithm,2,2,1.0
data or algorithm levels,2,2,1.0
or algorithm levels data,2,2,1.0
algorithm levels data level,2,2,1.0
levels data level solutions,2,2,1.0
data level solutions attempt,2,2,1.0
level solutions attempt to,2,2,1.0
solutions attempt to change,2,2,1.0
attempt to change the,2,2,1.0
to change the distribution,2,2,1.0
change the distribution of,2,2,1.0
the distribution of the,2,2,1.0
distribution of the imbalanced,2,2,1.0
of the imbalanced data,2,2,1.0
the imbalanced data by,2,2,1.0
imbalanced data by the,2,2,1.0
data by the original,2,2,1.0
by the original data,1,1,1.0
the original data typically,1,1,1.0
original data typically these,1,1,1.0
data typically these techniques,1,1,1.0
typically these techniques either,2,2,1.0
these techniques either oversample,2,2,1.0
techniques either oversample the,2,2,1.0
either oversample the minority,2,2,1.0
oversample the minority class,6,2,3.0
minority class or undersample,2,2,1.0
class or undersample the,2,2,1.0
or undersample the majority,2,2,1.0
undersample the majority class,4,2,2.0
the majority class or,4,2,2.0
majority class or sample,2,2,1.0
class or sample using,2,2,1.0
or sample using some,2,2,1.0
sample using some combination,2,2,1.0
using some combination of,2,2,1.0
some combination of both,2,2,1.0
combination of both of,2,2,1.0
of both of these,2,2,1.0
both of these methods,2,2,1.0
of these methods specifically,2,2,1.0
these methods specifically the,2,2,1.0
methods specifically the synthetic,2,2,1.0
specifically the synthetic minority,2,2,1.0
the synthetic minority technique,3,3,1.0
synthetic minority technique smote,5,3,1.6666666666666667
minority technique smote has,2,2,1.0
technique smote has become,2,2,1.0
smote has become a,2,2,1.0
has become a very,2,2,1.0
become a very popular,2,2,1.0
a very popular method,2,2,1.0
very popular method for,2,2,1.0
popular method for solving,2,2,1.0
method for solving issues,1,1,1.0
for solving issues in,1,1,1.0
solving issues in traditional,1,1,1.0
issues in traditional ml,2,2,1.0
in traditional ml and,2,2,1.0
traditional ml and has,2,2,1.0
ml and has also,2,2,1.0
and has also been,2,2,1.0
has also been applied,2,2,1.0
also been applied to,2,2,1.0
been applied to the,2,2,1.0
applied to the data,2,2,1.0
to the data augmentation,1,1,1.0
the data augmentation problem,1,1,1.0
data augmentation problem in,1,1,1.0
augmentation problem in deep,1,1,1.0
problem in deep learners,2,2,1.0
in deep learners algorithm,2,2,1.0
deep learners algorithm level,2,2,1.0
learners algorithm level solutions,2,2,1.0
algorithm level solutions aim,2,2,1.0
level solutions aim to,2,2,1.0
solutions aim to modify,2,2,1.0
aim to modify the,2,2,1.0
to modify the machine,2,2,1.0
modify the machine learning,2,2,1.0
the machine learning algorithms,2,2,1.0
machine learning algorithms used,2,2,1.0
learning algorithms used to,2,2,1.0
algorithms used to mitigate,2,2,1.0
used to mitigate their,2,2,1.0
to mitigate their bias,2,2,1.0
mitigate their bias towards,2,2,1.0
their bias towards majority,2,2,1.0
bias towards majority groups,2,2,1.0
towards majority groups typically,2,2,1.0
majority groups typically these,2,2,1.0
groups typically these techniques,2,2,1.0
typically these techniques involve,2,2,1.0
these techniques involve the,2,2,1.0
techniques involve the use,2,2,1.0
involve the use of,2,2,1.0
the use of and,2,2,1.0
use of and ensemble,2,2,1.0
of and ensemble methods,2,2,1.0
and ensemble methods in,2,2,1.0
ensemble methods in this,2,2,1.0
methods in this paper,2,2,1.0
this paper we explore,2,2,1.0
paper we explore a,2,2,1.0
we explore a novel,2,2,1.0
explore a novel approach,2,2,1.0
a novel approach to,2,2,1.0
novel approach to both,2,2,1.0
approach to both the,2,2,1.0
to both the class,2,2,1.0
both the class imbalance,2,2,1.0
the class imbalance and,3,3,1.0
class imbalance and data,1,1,1.0
imbalance and data augmentation,1,1,1.0
and data augmentation problems,1,1,1.0
data augmentation problems using,1,1,1.0
augmentation problems using an,2,2,1.0
problems using an counterfactual,2,2,1.0
using an counterfactual method,2,2,1.0
an counterfactual method that,2,2,1.0
counterfactual method that generates,2,2,1.0
method that generates synthetic,2,2,1.0
that generates synthetic in,2,2,1.0
generates synthetic in the,2,2,1.0
synthetic in the minority,4,2,2.0
the minority class interestingly,2,2,1.0
minority class interestingly this,2,2,1.0
class interestingly this method,2,2,1.0
interestingly this method was,2,2,1.0
this method was previously,2,2,1.0
method was previously developed,2,2,1.0
was previously developed to,2,2,1.0
previously developed to solve,1,1,1.0
developed to solve problems,1,1,1.0
to solve problems in,1,1,1.0
solve problems in explainable,1,1,1.0
problems in explainable ai,2,2,1.0
in explainable ai xai,2,2,1.0
explainable ai xai for,2,2,1.0
ai xai for reviews,2,2,1.0
xai for reviews see,2,2,1.0
for reviews see in,2,2,1.0
reviews see in logic,2,2,1.0
see in logic lewis,2,2,1.0
in logic lewis proposed,2,2,1.0
logic lewis proposed that,2,2,1.0
lewis proposed that counterfactuals,2,2,1.0
proposed that counterfactuals are,2,2,1.0
that counterfactuals are the,2,2,1.0
counterfactuals are the closest,2,2,1.0
are the closest possible,2,2,1.0
the closest possible world,2,2,1.0
closest possible world to,2,2,1.0
possible world to the,2,2,1.0
world to the current,2,2,1.0
to the current world,2,2,1.0
the current world in,2,2,1.0
current world in which,2,2,1.0
world in which the,4,2,2.0
in which the outcome,4,2,2.0
which the outcome is,2,2,1.0
the outcome is different,2,2,1.0
outcome is different hence,2,2,1.0
is different hence the,2,2,1.0
different hence the intuition,2,2,1.0
hence the intuition behind,2,2,1.0
the intuition behind the,2,2,1.0
intuition behind the current,2,2,1.0
behind the current technique,2,2,1.0
the current technique is,2,2,1.0
current technique is that,2,2,1.0
technique is that it,2,2,1.0
is that it generates,2,2,1.0
that it generates synthetic,2,2,1.0
it generates synthetic counterfactual,2,2,1.0
synthetic counterfactual instances using,2,2,1.0
counterfactual instances using the,2,2,1.0
instances using the actual,2,2,1.0
using the actual of,2,2,1.0
the actual of instances,2,2,1.0
actual of instances not,2,2,1.0
of instances not interpolated,2,2,1.0
instances not interpolated values,2,2,1.0
not interpolated values that,2,2,1.0
interpolated values that are,2,2,1.0
values that are the,2,2,1.0
that are the close,2,2,1.0
are the close to,2,2,1.0
the close to existing,2,2,1.0
close to existing thus,1,1,1.0
to existing thus populating,1,1,1.0
existing thus populating the,1,1,1.0
thus populating the minority,2,2,1.0
populating the minority class,2,2,1.0
the minority class with,6,3,2.0
minority class with plausible,2,2,1.0
class with plausible adaptations,2,2,1.0
with plausible adaptations of,2,2,1.0
plausible adaptations of existing,1,1,1.0
adaptations of existing data,1,1,1.0
of existing data if,1,1,1.0
existing data if this,1,1,1.0
data if this intuition,2,2,1.0
if this intuition is,2,2,1.0
this intuition is correct,2,2,1.0
intuition is correct then,2,2,1.0
is correct then the,2,2,1.0
correct then the synthetic,2,2,1.0
then the synthetic instances,2,2,1.0
the synthetic instances generated,2,2,1.0
synthetic instances generated by,3,3,1.0
instances generated by this,2,2,1.0
generated by this counterfactual,1,1,1.0
by this counterfactual method,1,1,1.0
this counterfactual method should,1,1,1.0
counterfactual method should improve,1,1,1.0
method should improve ml,2,2,1.0
should improve ml performance,2,2,1.0
improve ml performance perhaps,2,2,1.0
ml performance perhaps to,2,2,1.0
performance perhaps to a,2,2,1.0
perhaps to a level,2,2,1.0
to a level that,2,2,1.0
a level that advances,2,2,1.0
level that advances current,2,2,1.0
that advances current techniques,2,2,1.0
advances current techniques temraz,2,2,1.0
current techniques temraz keane,2,2,1.0
techniques temraz keane counterfactual,2,2,1.0
counterfactual data augmentation related,2,2,1.0
data augmentation related work,2,2,1.0
augmentation related work the,2,2,1.0
related work the related,2,2,1.0
work the related work,2,2,1.0
the related work to,2,2,1.0
related work to the,2,2,1.0
work to the present,2,2,1.0
to the present research,2,2,1.0
the present research comes,2,2,1.0
present research comes from,2,2,1.0
research comes from two,2,2,1.0
comes from two different,2,2,1.0
from two different strands,2,2,1.0
two different strands of,2,2,1.0
different strands of ai,2,2,1.0
strands of ai research,2,2,1.0
of ai research from,2,2,1.0
ai research from i,2,2,1.0
research from i sampling,2,2,1.0
from i sampling techniques,2,2,1.0
i sampling techniques for,2,2,1.0
sampling techniques for the,2,2,1.0
techniques for the class,2,2,1.0
for the class imbalance,10,4,2.5
class imbalance problem and,8,4,2.0
imbalance problem and ii,2,2,1.0
problem and ii counterfactual,2,2,1.0
and ii counterfactual methods,2,2,1.0
ii counterfactual methods for,2,2,1.0
counterfactual methods for explainable,2,2,1.0
methods for explainable ai,2,2,1.0
for explainable ai xai,2,2,1.0
explainable ai xai data,2,2,1.0
ai xai data level,2,2,1.0
xai data level solutions,2,2,1.0
data level solutions to,2,2,1.0
level solutions to the,2,2,1.0
solutions to the class,2,2,1.0
to the class imbalance,6,3,2.0
class imbalance problem are,2,2,1.0
imbalance problem are dominated,2,2,1.0
problem are dominated by,2,2,1.0
are dominated by three,2,2,1.0
dominated by three main,2,2,1.0
by three main approaches,2,2,1.0
three main approaches random,2,2,1.0
main approaches random ros,2,2,1.0
approaches random ros random,2,2,1.0
random ros random rus,2,2,1.0
ros random rus and,2,2,1.0
random rus and synthetic,2,2,1.0
rus and synthetic minority,2,2,1.0
and synthetic minority technique,1,1,1.0
minority technique smote in,1,1,1.0
technique smote in ros,2,2,1.0
smote in ros the,2,2,1.0
in ros the class,2,2,1.0
ros the class distribution,2,2,1.0
the class distribution is,2,2,1.0
class distribution is balanced,2,2,1.0
distribution is balanced by,2,2,1.0
is balanced by randomly,2,2,1.0
balanced by randomly adding,2,2,1.0
by randomly adding multiple,2,2,1.0
randomly adding multiple copies,2,2,1.0
adding multiple copies of,2,2,1.0
multiple copies of some,2,2,1.0
copies of some of,2,2,1.0
of some of the,2,2,1.0
some of the minority,2,2,1.0
of the minority classes,2,2,1.0
the minority classes to,2,2,1.0
minority classes to the,2,2,1.0
classes to the training,2,2,1.0
to the training data,2,2,1.0
the training data whereas,2,2,1.0
training data whereas with,2,2,1.0
data whereas with rus,2,2,1.0
whereas with rus a,2,2,1.0
with rus a certain,2,2,1.0
rus a certain number,2,2,1.0
a certain number of,2,2,1.0
certain number of examples,2,2,1.0
number of examples of,2,2,1.0
of examples of the,2,2,1.0
examples of the majority,2,2,1.0
of the majority class,18,5,3.6
the majority class are,3,3,1.0
majority class are randomly,2,2,1.0
class are randomly removed,2,2,1.0
are randomly removed from,2,2,1.0
randomly removed from the,2,2,1.0
removed from the original,2,2,1.0
from the original dataset,2,2,1.0
the original dataset although,2,2,1.0
original dataset although these,2,2,1.0
dataset although these methods,2,2,1.0
although these methods can,2,2,1.0
these methods can the,2,2,1.0
methods can the original,2,2,1.0
can the original dataset,2,2,1.0
the original dataset they,2,2,1.0
original dataset they have,2,2,1.0
dataset they have some,2,2,1.0
they have some since,1,1,1.0
have some since ros,1,1,1.0
some since ros merely,1,1,1.0
since ros merely copies,2,2,1.0
ros merely copies instances,2,2,1.0
merely copies instances no,2,2,1.0
copies instances no new,2,2,1.0
instances no new information,2,2,1.0
no new information is,2,2,1.0
new information is added,2,2,1.0
information is added to,2,2,1.0
is added to the,2,2,1.0
added to the and,1,1,1.0
to the and hence,1,1,1.0
the and hence it,1,1,1.0
and hence it can,2,2,1.0
hence it can lead,2,2,1.0
it can lead to,2,2,1.0
can lead to overfitting,2,2,1.0
lead to overfitting on,2,2,1.0
to overfitting on the,2,2,1.0
overfitting on the other,2,2,1.0
on the other hand,8,5,1.6
the other hand since,2,2,1.0
other hand since rus,2,2,1.0
hand since rus randomly,2,2,1.0
since rus randomly removes,1,1,1.0
rus randomly removes examples,1,1,1.0
randomly removes examples from,1,1,1.0
removes examples from the,1,1,1.0
examples from the majority,3,3,1.0
from the majority class,8,4,2.0
the majority class data,2,2,1.0
majority class data can,2,2,1.0
class data can be,2,2,1.0
data can be discarded,2,2,1.0
can be discarded that,2,2,1.0
be discarded that may,2,2,1.0
discarded that may be,2,2,1.0
that may be important,2,2,1.0
may be important the,2,2,1.0
be important the third,2,2,1.0
important the third option,2,2,1.0
the third option smote,2,2,1.0
third option smote adopts,2,2,1.0
option smote adopts a,2,2,1.0
smote adopts a somewhat,2,2,1.0
adopts a somewhat different,2,2,1.0
a somewhat different approach,2,2,1.0
somewhat different approach based,2,2,1.0
different approach based on,2,2,1.0
approach based on oversampling,4,2,2.0
based on oversampling from,2,2,1.0
on oversampling from the,2,2,1.0
oversampling from the class,1,1,1.0
from the class as,1,1,1.0
the class as smote,1,1,1.0
class as smote is,2,2,1.0
as smote is the,2,2,1.0
smote is the baseline,2,2,1.0
is the baseline method,2,2,1.0
the baseline method used,2,2,1.0
baseline method used for,2,2,1.0
method used for comparisons,2,2,1.0
used for comparisons in,2,2,1.0
for comparisons in the,2,2,1.0
comparisons in the present,2,2,1.0
in the present experiments,2,2,1.0
the present experiments we,2,2,1.0
present experiments we briefly,2,2,1.0
experiments we briefly describe,2,2,1.0
we briefly describe it,2,2,1.0
briefly describe it in,2,2,1.0
